promotion,bouts,fighters,direct_ufc,linked_to_ufc,link_rate
ICE FC,12,10,0,4,0.4
XFO,12,5,2,5,1.0
MAMMAL,12,6,0,1,0.167
BC,12,8,2,7,0.875
Knockout Promotions,12,5,0,2,0.4
MMAA,12,7,2,5,0.714
BA,12,6,1,6,1.0
COGA,12,5,0,3,0.6
864 Fighting Championship,12,9,2,6,0.667
Destiny MMA,12,7,0,6,0.857
Katana Fight,12,6,0,4,0.667
The Cage,12,8,0,1,0.125
IRFA,12,6,0,6,1.0
CF,12,11,0,8,0.727
Croatian MMA League,11,2,0,1,0.5
FEFoMP,11,7,1,5,0.714
Deep,11,4,1,3,0.75
FK MMA,11,7,0,6,0.857
NG,11,6,1,5,0.833
Innferno,11,8,1,3,0.375
Full Contact Promotions,11,6,0,1,0.167
Ryoshin Fighting Championship,11,7,0,4,0.571
Akuma,11,8,0,4,0.5
EMC,11,7,0,4,0.571
FNL,11,6,0,2,0.333
HFL,11,2,0,0,0.0
MMAPU,11,8,0,6,0.75
GFA,11,5,2,5,1.0
CAGE,11,7,1,4,0.571
UWC,11,4,0,2,0.5
LNK Boxing / WFCA Baltic,11,7,0,4,0.571
Fight Star,11,6,0,4,0.667
SFS,11,5,0,2,0.4
Unified,11,2,0,2,1.0
TKO,10,3,0,1,0.333
WCFL,10,5,0,2,0.4
TCF,10,2,0,2,1.0
The AKO Show,10,4,0,1,0.25
BTC,10,6,0,2,0.333
Midwest Fight League,10,4,2,3,0.75
Square Ring Promotions,10,5,2,4,0.8
MMA Battle Arena,10,8,0,5,0.625
Panama Fight League,10,2,0,2,1.0
XMMA,10,7,3,7,1.0
DB,10,7,0,3,0.429
MAC,10,6,1,2,0.333
WSOF,10,8,1,8,1.0
CWC,10,5,0,3,0.6
Jue Cheng King,10,3,0,0,0.0
EMMA,10,8,1,7,0.875
CFN,10,10,1,8,0.8
RW,10,3,0,1,0.333
CFK,10,9,0,2,0.222
Maverick,10,5,0,3,0.6
RMMA,10,8,0,5,0.625
Titov Boxing Promotion,10,2,0,2,1.0
FCOC,10,7,0,6,0.857
Rings Lithuania,10,2,0,2,1.0
MMAB,9,4,1,2,0.5
Ultimate Battle Grounds,9,7,1,6,0.857
Epic Fighting,9,5,0,3,0.6
KOP,9,4,0,2,0.5
Battle on Volga,9,8,0,3,0.375
Anthony Pettis,9,8,1,4,0.5
Colosseum MMA,9,7,0,0,0.0
FG,9,4,1,3,0.75
Aspera,9,8,0,4,0.5
IC,9,6,0,5,0.833
C3 Fights,9,5,3,5,1.0
Cage Conflict,9,6,1,3,0.5
IUR Fighting Championships,9,4,0,0,0.0
Driller Promotions,9,5,1,3,0.6
BFS,9,9,0,6,0.667
LFN,9,5,0,4,0.8
RCF,9,3,0,2,0.667
FGC,9,8,0,0,0.0
Home Fight Championship,9,3,0,1,0.333
Made Men Promotions,9,7,2,4,0.571
MFP,9,8,1,4,0.5
FNG,9,8,0,5,0.625
VMMA,9,8,1,4,0.5
The King of Fighters,9,7,0,5,0.714
CWA / Shinobi FC,9,5,0,2,0.4
TFL,9,4,0,2,0.5
BFN,9,7,1,4,0.571
TFS,9,7,0,4,0.571
SLM,9,8,0,2,0.25
IFC MMA,9,7,0,2,0.286
RXF,9,5,0,4,0.8
BYE,9,4,1,2,0.5
Champion of the Ring,9,1,0,1,1.0
USFFC,9,4,1,3,0.75
Costa Combat,9,2,0,0,0.0
HOOKnSHOOT,9,2,2,2,1.0
CFL,9,6,0,6,1.0
King of the Cage Lithuania,9,5,0,3,0.6
FNF,8,4,0,3,0.75
Fight of Gladiators,8,7,1,3,0.429
Benin,8,5,0,0,0.0
PC MMA,8,5,0,2,0.4
Power Fight,8,2,0,0,0.0
DFN,8,7,0,4,0.571
Bali MMA,8,4,0,0,0.0
Urijah Faber's A1 Combat,8,7,0,3,0.429
GFF,8,5,0,3,0.6
Siberian League,8,2,0,1,0.5
Tatfight,8,2,0,0,0.0
Sambo Club Belisce,8,3,0,1,0.333
Nokaut Fighting,8,2,0,1,0.5
COTC,8,4,0,4,1.0
LUMMAAP,8,4,0,1,0.25
ProFC Grand Prix Global,8,4,1,4,1.0
Draka,8,5,0,3,0.6
FNW,8,7,0,4,0.571
M4tC,8,5,0,3,0.6
The Cage Vol.,8,4,0,3,0.75
IF,8,7,0,3,0.429
CMTA,8,7,1,4,0.571
LCS,8,3,0,0,0.0
WCF,8,4,0,2,0.5
Gladiators of the Cage,8,4,1,3,0.75
UI,8,4,0,3,0.75
CCC,8,4,0,4,1.0
Pancrase,8,3,1,2,0.667
TWC,8,4,1,3,0.75
USACA,8,2,0,2,1.0
AMF,8,3,0,2,0.667
Rizin Fighting Federation,8,6,0,5,0.833
Pantanal Fight,8,2,0,1,0.5
GKO,8,4,0,4,1.0
RFL,8,6,0,0,0.0
FCR,8,2,1,2,1.0
GITC,8,3,0,0,0.0
X1 Kombat,8,3,0,1,0.333
Contenders East Anglia,8,6,1,4,0.667
USWF,8,1,1,1,1.0
German Cage Pioneer,8,6,0,1,0.167
SteelFist Fight Night,7,2,0,2,1.0
Absolute Combat Federation,7,4,0,1,0.25
Intense Fight Championship,7,4,0,3,0.75
GAMMA,7,4,0,0,0.0
CRC,7,5,0,4,0.8
Alash Pride,7,5,1,2,0.4
TC,7,5,0,3,0.6
Southside Boxing,7,4,0,2,0.5
BF,7,7,0,5,0.714
CKFC,7,1,0,1,1.0
Altay Republik MMA League,7,3,0,2,0.667
Arena,7,5,0,1,0.2
Future MMA,7,7,0,2,0.286
XFCI,7,4,0,4,1.0
AC,7,5,0,3,0.6
GEMMAF,7,4,0,0,0.0
FA,7,7,0,6,0.857
OFU,7,5,0,0,0.0
NCE,7,4,0,2,0.5
DonnyBrooke Fight Promotion,7,2,0,1,0.5
Disorderly Conduct,7,5,0,3,0.6
MMA Experience,7,5,0,3,0.6
Alpha One Sports,7,5,2,3,0.6
Pitbull Fighting Championship,7,3,0,1,0.333
RXC,7,4,0,1,0.25
FCF,7,5,0,5,1.0
EFL,7,5,0,2,0.4
Pure,7,3,0,2,0.667
Gladork Gym,7,6,0,1,0.167
NEC,7,3,0,2,0.667
Shinobi War,7,6,0,3,0.5
DF,7,7,1,3,0.429
Killacam Fight Night,7,4,0,2,0.5
Evolution Of Combat,7,4,0,0,0.0
IFC WC,7,1,1,1,1.0
M-1 Ukraine,7,4,0,3,0.75
LUX,7,4,0,2,0.5
AMC Fight Nights,7,4,0,1,0.25
Slam,7,4,1,3,0.75
AFN,7,7,0,4,0.571
Batalha,7,5,0,2,0.4
XCC,7,6,1,5,0.833
BH Fight,7,3,0,2,0.667
PMMAL,7,3,0,2,0.667
Middle East Fighting Championship,7,4,0,1,0.25
The Battle Championship,7,5,0,3,0.6
Breakthrough,7,5,1,3,0.6
STB,7,7,1,4,0.571
ABCF,7,3,0,1,0.333
Road,7,2,0,2,1.0
Warrior FC,7,2,0,1,0.5
SPF / PFC,7,2,0,1,0.5
BMMAF,7,5,0,2,0.4
RUF,7,5,0,2,0.4
F21,7,5,0,3,0.6
Arena Combat,7,6,1,4,0.667
PAMMA,7,3,0,0,0.0
CUFF,7,4,0,1,0.25
ProFC / GM Fight,7,6,0,6,1.0
Legion Fighting Championship,7,5,1,3,0.6
RFN,6,3,0,1,0.333
Dacheng Wuyi,6,1,0,1,1.0
WCC,6,3,0,3,1.0
ARMMADA,6,5,0,3,0.6
FMMAF,6,4,0,2,0.5
Phoenix Fighting Championship,6,4,0,2,0.5
MMA Live,6,4,0,1,0.25
Fight Club Den Haag,6,6,1,4,0.667
OP,6,5,0,2,0.4
WFL,6,3,1,2,0.667
CZ,6,3,0,3,1.0
Valor Fights,6,6,2,4,0.667
Inka,6,4,1,3,0.75
FMS,6,6,0,1,0.167
CageSport MMA,6,4,0,2,0.5
ABG,6,3,2,3,1.0
Bayou,6,5,0,3,0.6
TNT Fight Series,6,2,0,2,1.0
SCC,6,5,3,4,0.8
PFL Super Fights,6,6,2,6,1.0
Abadan FC,6,3,0,2,0.667
FE,6,4,0,2,0.5
Shaolin Ryu,6,4,0,3,0.75
SFH,6,5,0,1,0.2
Venator,6,4,0,2,0.5
ADW,6,5,2,5,1.0
WOC,6,4,0,2,0.5
WKC MMA,6,4,0,2,0.5
EFX,6,2,0,2,1.0
Full Fight,6,6,0,4,0.667
PFA,6,3,0,2,0.667
Cageside Promotions / KCFA,6,3,1,3,1.0
ACL,6,2,0,1,0.5
WCSA Combat League,6,3,1,2,0.667
MMA Berlin,6,2,0,0,0.0
Arena Tour,6,5,0,5,1.0
Flex Fight Series Vol.,6,1,0,0,0.0
Rod Fighting,6,4,0,3,0.75
FMMAMG,6,4,0,2,0.5
GEC,6,4,0,0,0.0
Muradov Professional League,6,4,0,2,0.5
HFN,6,6,0,3,0.5
Professional Combat Sambo,6,3,1,2,0.667
CTF,6,5,0,2,0.4
Sicario MMA,6,4,0,3,0.75
ArmFC,6,1,0,0,0.0
247 FC,6,4,0,2,0.5
Northwest League of Combat Sambo,6,2,0,1,0.5
NIF,6,5,0,3,0.6
DH,6,5,0,4,0.8
SEAFC,6,3,0,1,0.333
MMAC,6,5,0,4,0.8
Ring of Combat,6,3,0,2,0.667
Warrior's Way,6,2,0,2,1.0
VFCL,5,5,0,3,0.6
Conflict,5,5,1,4,0.8
OMMAC,5,3,0,2,0.667
PFN,5,5,0,3,0.6
Professional Fight Union,5,3,0,2,0.667
Combat Quest,5,3,0,1,0.333
Hanuman Cup,5,2,0,0,0.0
LOF,5,2,1,2,1.0
BRTL,5,3,0,1,0.333
TBC,5,2,0,2,1.0
EFM,5,3,0,3,1.0
Ural,5,4,0,3,0.75
ACC,5,2,1,1,0.5
TGC,5,5,0,4,0.8
Xtreme Fighting Championships,5,4,0,3,0.75
1° Round Combat,5,3,0,3,1.0
Altay Republic MMA League,5,3,0,2,0.667
M-1 Selection,5,3,0,2,0.667
RWE,5,3,0,3,1.0
Ravage,5,3,0,1,0.333
Hype,5,3,0,2,0.667
Nightmare FC,5,4,0,1,0.25
XCF,5,5,0,4,0.8
KOK,5,3,1,3,1.0
CAM,5,3,0,1,0.333
UFL,5,5,0,1,0.2
WSFC,5,4,0,2,0.5
FTD,5,3,0,3,1.0
Rise Debut Fight Series,5,2,0,0,0.0
BFW,5,1,1,1,1.0
AFF,5,5,0,3,0.6
FMD,5,4,1,4,1.0
209,5,2,0,0,0.0
Premier,5,4,0,3,0.75
R1 Fighting Series,5,5,0,1,0.2
MOTC,5,2,0,2,1.0
Cage Warriors,5,4,0,3,0.75
MMADF,5,2,0,0,0.0
BB,5,4,1,3,0.75
CCFC,5,4,0,2,0.5
MBC,5,3,0,1,0.333
Shooto Italy,5,3,0,3,1.0
True Fight Fan,5,3,0,1,0.333
Fight Explosion,5,5,1,4,0.8
GEFC,5,3,0,2,0.667
MMA Pro Ukraine,5,3,0,3,1.0
KOC,5,5,0,3,0.6
USC,5,5,1,4,0.8
K-1,5,3,0,3,1.0
CFU,5,3,0,1,0.333
MMAA CZ,5,1,0,0,0.0
Juiz de Fora Fight,5,3,0,3,1.0
MTF,5,2,0,0,0.0
MMAX,5,4,0,2,0.5
CFC Malta,5,4,0,3,0.75
LF,5,4,0,1,0.25
Rizin Fighting World Grand Prix,5,4,0,4,1.0
GVT,5,3,0,0,0.0
V3 Fights,5,3,0,2,0.667
Superior,5,3,0,3,1.0
ECC,5,4,1,4,1.0
SHP,5,4,1,4,1.0
Victory Fighting Championship,5,5,0,3,0.6
Fury FC,5,5,1,3,0.6
Pinnacle,5,3,1,2,0.667
XFE,5,3,0,2,0.667
BCM Promotions,5,4,1,2,0.5
AFC MMA,5,4,0,3,0.75
Staredown FC,5,1,0,1,1.0
Shamrock Events,5,1,1,1,1.0
Smash Global,5,3,0,3,1.0
Bellator London,5,5,0,3,0.6
Bellator Champions Series San Diego,5,5,0,3,0.6
X-Fest,5,4,0,1,0.25
Soko FC,5,4,0,2,0.5
NMEF,5,3,0,3,1.0
X-1 World Events,5,2,0,2,1.0
Cageside Promotions,5,3,0,3,1.0
The Cage Inc.,5,3,0,3,1.0
Bellator Champions Series Paris,4,4,1,4,1.0
GC,4,2,1,1,0.5
AMMO Fight League,4,3,0,1,0.333
Real Deal Championships,4,2,0,1,0.5
Cagebound Fighting Championship,4,2,0,1,0.5
CZMMA,4,2,0,1,0.5
Mangu Professional League,4,4,0,1,0.25
BKO Club,4,1,0,1,1.0
AGC,4,3,0,1,0.333
Brothers Fight Championship,4,3,0,0,0.0
Brabos Combat,4,2,0,0,0.0
ML,4,2,0,1,0.5
Moscow Pankration Federation,4,4,0,1,0.25
Demolidor Fight,4,2,0,1,0.5
ICF,4,2,0,1,0.5
Fusion,4,3,0,1,0.333
Mglebi,4,2,0,0,0.0
Spartan Fight,4,4,0,4,1.0
MPF,4,2,1,2,1.0
Cage Rage,4,1,1,1,1.0
WTKF,4,2,0,2,1.0
WXC,4,3,0,2,0.667
Lights Out / Bash Entertainment,4,3,0,2,0.667
X-Fight,4,2,0,1,0.5
North Iowa Fights,4,4,0,3,0.75
ROAW,4,4,0,0,0.0
NLFC,4,4,1,1,0.25
SEC,4,4,0,4,1.0
Crash Combat,4,3,0,2,0.667
NC,4,3,0,1,0.333
SSP,4,3,0,3,1.0
WUFC,4,3,0,3,1.0
WSOF-GC,4,3,0,3,1.0
Kunlun Fight,4,4,0,3,0.75
WFCA Baltic,4,3,0,1,0.333
MMA Bushido / King of Kings,4,4,0,4,1.0
RTC,4,4,0,4,1.0
PMMA,4,3,0,1,0.333
NFC Contenders,4,4,0,0,0.0
United Fight League,4,3,0,3,1.0
EMMAA,4,2,1,1,0.5
Hamara MMA,4,4,0,3,0.75
UFC Live,4,4,4,4,1.0
RTP,4,4,2,4,1.0
Prime,4,3,1,3,1.0
CSFU,4,2,0,2,1.0
Nomad MMA,4,4,0,2,0.5
Strife,4,2,0,2,1.0
Pro MMA Challenge,4,4,0,4,1.0
Lajeado Fight MMA,4,3,0,2,0.667
Rubao Fight Combat,4,2,0,1,0.5
XFMMA,4,3,0,2,0.667
Cage Bros,4,2,0,2,1.0
ACA YE,4,4,0,0,0.0
Bison Kombat,4,4,0,0,0.0
MMA Galla,4,3,0,1,0.333
ASC,4,4,0,1,0.25
Mr. Cage Championship,4,4,0,1,0.25
Punch Up Promotions,4,2,0,1,0.5
NOF,4,4,0,2,0.5
Fightstar,4,2,0,0,0.0
DCC,4,3,0,1,0.333
Caveam,4,4,1,3,0.75
FCK,4,3,1,3,1.0
GMA,4,3,1,2,0.667
971 Fighting Championship,4,3,0,1,0.333
Brutaal,4,1,0,1,1.0
Charge,4,3,0,2,0.667
MMA Brutus,4,3,0,2,0.667
GPC,4,1,0,0,0.0
Campeonato Internacional de,4,1,0,0,0.0
PFL,4,4,0,0,0.0
EFFC,4,1,0,1,1.0
EMAA,4,2,0,1,0.5
UC,4,4,0,2,0.5
AOC,4,2,0,1,0.5
WAR,4,2,0,1,0.5
APF,4,3,0,1,0.333
CMMA,4,4,0,1,0.25
MMA Attack,4,3,2,3,1.0
Professional Fighter League Storm,4,3,0,2,0.667
GP,4,4,0,2,0.5
Rio Fight,4,2,0,0,0.0
EF,4,3,1,2,0.667
OMMAF,4,3,0,3,1.0
SLF,4,1,0,1,1.0
AKFC,4,4,1,4,1.0
DFC,4,4,1,2,0.5
AFU,4,2,0,1,0.5
Glory of Heroes,4,4,0,3,0.75
The Zone,4,4,0,4,1.0
UAMA,4,2,0,2,1.0
SFN,4,4,0,3,0.75
RA,4,2,1,2,1.0
Ring XF,4,2,0,2,1.0
FTF,4,4,0,2,0.5
RWC,4,3,0,1,0.333
FWC,4,3,1,2,0.667
ULLAMP,4,2,0,2,1.0
AOS4,4,4,0,1,0.25
EliteXC,4,2,0,2,1.0
Chaos,4,3,0,0,0.0
UCFC,4,2,0,2,1.0
Bellator MMA x Rizin,4,4,0,4,1.0
Dark Night Nove Zamky,4,4,0,1,0.25
Florida Fight Foundation,4,3,0,1,0.333
BAMMA USA,4,4,0,3,0.75
Lights Out,4,1,1,1,1.0
Shamrock,4,3,1,2,0.667
Captains Fight Club,4,4,0,2,0.5
Bellator Milan,4,4,0,4,1.0
Rogue Promotions,4,3,1,1,0.333
Fronteira Fight,4,4,0,1,0.25
IDC,4,3,0,1,0.333
Iron Man MMA,4,2,0,0,0.0
VXFC,4,4,1,2,0.5
GFN,4,3,0,3,1.0
MKOTR,4,1,0,1,1.0
RCS,4,2,0,0,0.0
ATFC,4,2,0,1,0.5
Impact Promotions,4,3,0,2,0.667
SnA,4,3,0,2,0.667
Bradar Fight,4,2,1,2,1.0
Cidade da Luta,4,4,0,3,0.75
NSC,4,3,0,2,0.667
PMMAC,4,2,0,0,0.0
Impact Championship,3,3,0,1,0.333
YFC,3,2,0,0,0.0
UNU,3,1,0,1,1.0
FFM,3,1,0,1,1.0
Bellator Champions Series Dublin,3,3,0,1,0.333
Team Nogueira,3,3,0,2,0.667
Rocktagon MMA,3,3,0,2,0.667
AOS2,3,3,0,2,0.667
CRF,3,1,0,1,1.0
Cage Survivor,3,3,0,2,0.667
Rocket Combat Sports,3,2,0,0,0.0
MMAFS,3,3,0,2,0.667
FW,3,3,0,0,0.0
URCC,3,3,0,1,0.333
Talent MMA Circuit,3,2,0,1,0.5
Combat Challenge Serbia,3,3,0,1,0.333
Limo Fight,3,3,0,2,0.667
Legacy Nightlyfe,3,3,0,1,0.333
TAURA MMA,3,3,0,2,0.667
Matchmaker,3,1,0,1,1.0
Naciones,3,2,0,1,0.5
LIF,3,2,0,0,0.0
MFN,3,3,0,3,1.0
Sprawl & Brawl,3,3,0,2,0.667
AFO,3,2,1,2,1.0
Big Shot Fight,3,2,0,2,1.0
TKOMMA,3,2,0,1,0.5
Hybrid,3,3,0,1,0.333
SOW,3,3,0,2,0.667
SMMAF,3,2,1,2,1.0
OFG,3,1,0,0,0.0
Bizzarro Promotions,3,2,0,0,0.0
Primus MMA,3,1,0,1,1.0
War of Titans,3,3,2,2,0.667
Bellator Newcastle,3,3,0,3,1.0
Kezen Fight,3,2,0,1,0.5
Arena Combate,3,1,0,1,1.0
Xtreme Caged Combat,3,3,0,3,1.0
Number,3,2,0,2,1.0
Arabian Combat Sports,3,2,0,0,0.0
SFFN,3,3,0,3,1.0
Fight Club OC,3,3,0,3,1.0
ABA Fighting Championship,3,2,0,0,0.0
GetDown Promotions,3,2,0,2,1.0
LCC,3,3,0,1,0.333
Azerbaijan MMA Federation,3,1,0,1,1.0
X Fight,3,3,0,2,0.667
Fight in the West,3,2,0,1,0.5
Walkout,3,3,0,1,0.333
Saikyo,3,3,0,1,0.333
M-1 Selection Ukraine,3,3,0,3,1.0
APM,3,2,0,1,0.5
TKKM,3,2,0,1,0.5
VNF,3,1,0,0,0.0
UFN,3,3,1,1,0.333
Battle,3,3,0,2,0.667
3RT,3,3,0,1,0.333
AUTMMAF,3,1,0,0,0.0
Cage Fight,3,2,0,2,1.0
UMMA,3,3,1,2,0.667
Celtic Gladiator,3,3,0,3,1.0
360 Promotion,3,3,1,3,1.0
Hit-FC,3,3,0,3,1.0
RIR,3,2,0,2,1.0
RDMMA,3,3,1,2,0.667
Knuckled Up Promotions,3,2,0,1,0.5
RCC Boxing Promotions,3,2,0,2,1.0
iFC,3,3,1,3,1.0
FFEC,3,1,0,1,1.0
Khan Fight,3,3,0,1,0.333
Fight Night Finland,3,3,0,3,1.0
Ultimate Impact,3,3,0,2,0.667
Liechtensteiner Fight Night,3,2,1,1,0.5
